rule_id,business_process,permission_a,permission_b,conflict_description,risk_rating,control_objective,recommended_mitigation
SOD-001,Vendor Management,VENDOR_CREATE,PAYMENT_APPROVE,User can create a vendor and approve payments to that vendor,Critical,Prevent one user from initiating and approving vendor payment activity,Separate vendor maintenance from payment approval or require documented compensating control
SOD-002,Invoice Processing,INVOICE_CREATE,INVOICE_APPROVE,User can create and approve invoices,High,Prevent one user from creating and approving financial obligations,Remove one permission or require secondary approval workflow
SOD-003,Payments,PAYMENT_RECONCILE,PAYMENT_APPROVE,User can reconcile and approve payments,High,Maintain independent review between reconciliation and approval,Separate reconciliation and approval responsibilities
SOD-004,User Administration,USER_ADMIN,ROLE_ASSIGNMENT_APPROVE,User can administer accounts and approve role assignments,Critical,Prevent self-service or unauthorized privilege elevation,Restrict role approval to IAM management or independent approver
SOD-005,Payroll,PAYROLL_UPDATE,PAYROLL_APPROVE,User can update and approve payroll changes,Critical,Prevent unauthorized payroll changes from being approved by the same user,Separate payroll update and approval permissions
SOD-006,HR Offboarding,OFFBOARDING_UPDATE,USER_ADMIN,User can mark users as offboarded and control system access,High,Ensure HR offboarding and IAM access removal remain independently validated,Require IAM review and access deprovisioning audit evidence
SOD-007,Audit Evidence,EVIDENCE_UPLOAD,EVIDENCE_APPROVE,User can upload and approve audit evidence,High,Maintain independent audit evidence review,Require separate preparer and reviewer
SOD-008,Financial Reporting,REPORT_EXPORT,FINANCIAL_STATEMENT_APPROVE,User can export reports and approve final financial statements,Medium,Reduce risk of reporting manipulation without review,Require manager review and approval documentation
SOD-009,Access Governance,ACCESS_REVIEW,ACCESS_EXCEPTION_APPROVE,User can perform access review and approve their own exceptions,High,Prevent access reviewers from approving unresolved exceptions without oversight,Route exception approval to independent control owner
SOD-010,System Configuration,SYSTEM_CONFIG,LOG_DELETE,User can configure systems and delete logs,Critical,Preserve audit trail integrity and prevent concealment of unauthorized activity,Remove log deletion access or require restricted break-glass approval
